steps,until,count,time
1,1000000,1000000,4.4971771240234375
2,1000000,500000,2.2405548095703125
3,1000000,333334,1.4533429145812988
4,1000000,250000,1.1194770336151123
5,1000000,200000,0.8972549438476562
6,1000000,166667,0.7546379566192627
7,1000000,142858,0.6324770450592041
8,1000000,125000,0.5587010383605957
9,1000000,111112,0.5003988742828369
10,1000000,100000,0.44979286193847656
1,6000000,6000000,27.7378671169281
2,6000000,3000000,14.084103107452393
3,6000000,2000000,9.236109018325806
4,6000000,1500000,6.847730875015259
5,6000000,1200000,5.3771820068359375
6,6000000,1000000,4.549995183944702
7,6000000,857143,3.9420180320739746
8,6000000,750000,3.402092218399048
9,6000000,666667,2.9244630336761475
10,6000000,600000,2.713524103164673
1,11000000,11000000,49.41769599914551
2,11000000,5500000,24.873507976531982
3,11000000,3666667,16.445436000823975
4,11000000,2750000,12.276015996932983
5,11000000,2200000,9.944458961486816
6,11000000,1833334,8.187829971313477
7,11000000,1571429,7.119964838027954
8,11000000,1375000,6.174181938171387
9,11000000,1222223,5.475340127944946
10,11000000,1100000,4.909041881561279
1,16000000,16000000,71.36875700950623
2,16000000,8000000,35.6521430015564
3,16000000,5333334,23.812716960906982
4,16000000,4000000,17.857406854629517
5,16000000,3200000,14.411297082901001
6,16000000,2666667,12.238822937011719
7,16000000,2285715,10.358794927597046
8,16000000,2000000,9.280809879302979
9,16000000,1777778,8.152412176132202
10,16000000,1600000,7.357764005661011
1,21000000,21000000,96.19268202781677
2,21000000,10500000,48.88792610168457
3,21000000,7000000,31.982172966003418
4,21000000,5250000,23.57661485671997
5,21000000,4200000,19.02359104156494
6,21000000,3500000,15.941473007202148
7,21000000,3000000,13.640603065490723
8,21000000,2625000,11.93544888496399
9,21000000,2333334,10.494256019592285
10,21000000,2100000,9.383792877197266
1,26000000,26000000,117.17684078216553
2,26000000,13000000,59.60241413116455
3,26000000,8666667,38.43846392631531
4,26000000,6500000,29.024466037750244
5,26000000,5200000,24.082456827163696
6,26000000,4333334,19.636625051498413
7,26000000,3714286,16.865164041519165
8,26000000,3250000,14.63241696357727
9,26000000,2888889,13.095863103866577
10,26000000,2600000,12.044816970825195
1,31000000,31000000,143.52735781669617
2,31000000,15500000,69.89367008209229
3,31000000,10333334,46.61889410018921
4,31000000,7750000,35.73254704475403
5,31000000,6200000,29.349842071533203
6,31000000,5166667,23.976075172424316
7,31000000,4428572,20.12940812110901
8,31000000,3875000,17.836326837539673
9,31000000,3444445,15.5450439453125
10,31000000,3100000,13.918758869171143
1,36000000,36000000,162.96377086639404
2,36000000,18000000,83.380784034729
3,36000000,12000000,56.21609902381897
4,36000000,9000000,41.921005964279175
5,36000000,7200000,34.09111976623535
6,36000000,6000000,28.07044792175293
7,36000000,5142858,23.675866842269897
8,36000000,4500000,20.333643913269043
9,36000000,4000000,18.022218942642212
10,36000000,3600000,16.55317187309265
1,41000000,41000000,191.73469376564026
2,41000000,20500000,94.26877498626709
3,41000000,13666667,62.956443071365356
4,41000000,10250000,47.18439078330994
5,41000000,8200000,37.40969395637512
6,41000000,6833334,32.30361199378967
7,41000000,5857143,27.063928842544556
8,41000000,5125000,24.228266954421997
9,41000000,4555556,21.290589094161987
10,41000000,4100000,18.737295866012573
1,46000000,46000000,214.09374284744263
2,46000000,23000000,107.86551904678345
3,46000000,15333334,71.97636103630066
4,46000000,11500000,53.469199895858765
5,46000000,9200000,41.77524209022522
6,46000000,7666667,36.30002307891846
7,46000000,6571429,30.67253613471985
8,46000000,5750000,26.93973708152771
9,46000000,5111112,23.6539089679718
10,46000000,4600000,21.34439992904663
